Shymkent	42.3099	69.6004	Asia/Almaty	Kazakhstan
Weinan	34.5035	109.5089	Asia/Shanghai	China
Ghaziabad	28.6654	77.4391	Asia/Kolkata	India
Matola	-25.9622	32.4589	Africa/Maputo	Mozambique
Dhanbad	23.7976	86.4299	Asia/Kolkata	India
Arequipa	-16.3990	-71.5375	America/Lima	Peru
Hong Kong Island	22.2630	114.1842	Asia/Hong_Kong	Hong Kong
Fes	34.0331	-5.0003	Africa/Casablanca	Morocco
Gustavo Adolfo Madero	19.4939	-99.1107	America/Mexico_City	Mexico
Nouakchott	18.0858	-15.9785	Africa/Nouakchott	Mauritania
Kisangani	0.5153	25.1910	Africa/Lubumbashi	Democratic Republic of the Congo
Jiaxing	30.7522	120.7500	Asia/Shanghai	China
Aurangabad	19.8776	75.3423	Asia/Kolkata	India
Zhongwei	37.5113	105.1907	Asia/Shanghai	China
Omsk	54.9924	73.3686	Asia/Omsk	Russia
Pikine	14.7646	-17.3907	Africa/Dakar	Senegal
Guarulhos	-23.4628	-46.5333	America/Sao_Paulo	Brazil
